"Data","Indice_Vendas"
"setembro 2020",99.17828
"outubro 2020",105.8898
"novembro 2020",109.85013
"dezembro 2020",126.51201
"janeiro 2021",94.63845
"fevereiro 2021",87.09135
"março 2021",92.35696
"abril 2021",92.81474
"maio 2021",100.74772
"junho 2021",96.99321
"julho 2021",104.75813
"agosto 2021",98.09983
"setembro 2021",94.04461
"outubro 2021",98.65443
"novembro 2021",105.23216
"dezembro 2021",122.78603
"janeiro 2022",93.22962
"fevereiro 2022",88.20452
"março 2022",96.92398
"abril 2022",96.98576
"maio 2022",100.59259
"junho 2022",96.86423
"julho 2022",99.1827
"agosto 2022",99.6294
"setembro 2022",97.0433
"outubro 2022",101.35957
"novembro 2022",106.66694
"dezembro 2022",123.31739
"janeiro 2023",95.76611
"fevereiro 2023",89.27505
"março 2023",100.27768
"abril 2023",97.53955
"maio 2023",99.57233
"junho 2023",98.26606
"julho 2023",101.67025
"agosto 2023",102.12442
"setembro 2023",100.19779
"outubro 2023",101.51743
"novembro 2023",109.42248
"dezembro 2023",124.93408
"janeiro 2024",99.59489
"fevereiro 2024",95.83814
"março 2024",105.27825
"abril 2024",98.91164
"maio 2024",106.56448
"junho 2024",101.571
"julho 2024",105.56995
"agosto 2024",106.82036
"setembro 2024",101.77943
"outubro 2024",107.61626
"novembro 2024",114.37145
"dezembro 2024",126.6318
"janeiro 2025",102.73807
"fevereiro 2025",97.386
"março 2025",104.48897
"abril 2025",104.2224
"maio 2025",108.5358
"junho 2025",102.09587
"julho 2025",106.89733
"agosto 2025",107.19768
"setembro 2025",102.67319
"outubro 2025",108.70921
"novembro 2025",116.0521
"dezembro 2025",129.65052
"janeiro 2026",105.5295
"fevereiro 2026",97.77609
"março 2026",108.63961
